#{"t_start": 1764939802.515601, "env_id": "highway-construction-v0"}
r,l,t
-33.866822,13,4096.839492
-616.1578,600,4101.010215
-34.635244,75,4101.556808
-49.157533,11,4101.633533
-48.870141,12,4101.724506
-47.753465,8,4101.78081
-36.931064,30,4101.989563
-41.664805,10,4102.058073
-35.518095,11,4102.134744
-35.76752,16,4102.241173
-34.536503,22,4102.381195
-50.0,1,4102.390579
-37.07318,15,4102.494092
-49.159035,11,4102.567883
-38.941622,14,4102.671386
-927.190876,600,4106.651209
-32.739664,26,4106.83918
-29.264647,20,4106.986032
-46.700783,3,4107.010143
-46.996155,14,4107.108219
-14.572382,46,4107.408033
-21.100926,40,4107.700172
-50.0,1,4107.709181
-33.650851,22,4107.851308
-49.127667,2,4107.866636
-40.031927,18,4107.986551
-43.805426,20,4108.121859
-49.927058,9,4108.185775
-42.966953,19,4108.311471
-43.849095,19,4108.44383
-46.752832,13,4108.533935
-33.23629,23,4108.687032
-50.0,1,4108.696345
-37.687478,36,4108.941242
-38.683455,25,4109.122859
-44.052317,5,4109.161751
-20.543386,51,4109.501995
-43.683648,27,4109.679254
-44.973409,25,4109.843427
-26.587162,32,4110.060457
-46.873374,21,4110.197862
-32.472276,39,4110.455712
-48.906205,11,4110.52717
-53.882483,53,4110.899504
-37.261062,10,4110.965734
-48.652287,6,4111.008386
-44.630483,14,4111.110089
-48.700357,10,4111.186741
-30.236292,28,4111.380333
-44.310896,5,4111.416235
-51.569937,6,4111.459587
-1494.137069,600,4114.740501
-43.552777,6,4114.785668
-36.279421,10,4945.908924
-23.265732,69,4946.428999
-35.188755,24,4946.583686
-48.54211,2,4946.599013
-27.564544,41,4946.860565
-46.757397,16,4946.974593
-44.284493,13,4947.05871
-23.37839,41,4947.318021
-41.487553,8,4947.373508
-43.440018,29,4947.554006
-41.214033,20,4947.675956
-47.507926,9,4947.737078
-1352.709685,600,4951.522467
-36.560394,9,4951.581695
-48.34211,2,4951.597299
-40.455223,80,4952.130852
-41.734249,6,4952.17702
-430.385234,468,4955.091553
-45.589689,12,4955.168524
-25.642479,36,4955.408477
-48.603458,11,4955.477526
-47.155905,7,4955.528014
-48.861516,14,4955.624989
-46.907568,10,4955.693324
-37.776683,11,4955.769855
-41.041388,16,4955.870791
-43.994109,11,4955.944367
-50.0,1,4955.953243
-48.172098,34,4956.194165
-31.747168,97,4956.844004
-38.437697,12,4956.920814
-44.001811,17,4957.024958
-50.0,1,4957.034423
-43.478942,6,4957.076939
-22.145567,72,4957.529278
-74.821785,169,4958.48122
-46.704187,3,4958.503584
-37.066909,27,4958.684659
-50.0,1,4958.693852
-50.0,1,4958.703351
-46.862778,11,4958.779873
-27.960998,35,4959.000858
-51.54747,4,4959.02903
-50.0,1,4959.038248
-43.584783,36,4959.348729
-31.034751,24,4959.528459
-50.96717,8,4959.583586
-41.853494,7,4959.631542
-33.518849,29,4959.82281
-40.740005,15,4959.918457
-554.030204,556,4963.459707
-1045.741806,600,4967.570266
-1367.552569,600,4971.238417
-33.992783,30,4971.449758
-42.853262,10,4971.51527
-35.247377,21,4971.661748
-41.584777,13,4971.751633
-43.656154,8,4971.809618
-50.0,1,4971.818775
-25.821387,31,4972.024764
-47.513487,9,4972.083808
-48.854522,9,4972.142621
-96.382479,142,4973.080866
-50.179353,2,4973.095975
-38.16621,28,4973.295793
-7.043998,55,4973.642424
-17.955261,54,4973.994945
-41.792317,15,4974.091723
1.468273,47,4974.428413
-43.312428,10,4974.495089
-26.303222,46,4974.784431
-41.774104,15,4974.881612
-44.674458,8,4974.936177
-33.914151,15,4975.041391
-50.0,1,4975.051165
-44.630577,22,4975.194668
-45.288642,7,4975.248416
-30.717716,63,4975.683951
-38.160772,23,4975.836112
-50.0,1,4975.845882
-31.180853,36,4976.086602
-30.710279,46,4976.390643
-38.133464,26,4976.562701
-48.34211,2,4976.579045
-41.71551,6,4976.621977
-35.207669,13,4976.70468
-41.472642,8,4976.763448
-41.460811,6,4976.803452
-45.851823,10,4976.869803
-39.237725,18,4976.996772
-39.563257,22,4977.135678
-46.91496,11,4977.204897
-43.745126,10,4977.269286
-50.361925,5,4977.30595
-49.384399,17,4977.413634
-50.0,1,4977.422892
-13.410896,70,4977.866272
-48.148416,5,4977.900464
-49.958803,16,4978.01121
-41.917227,21,4978.162291
-50.0,1,4978.171768
-34.026634,18,4978.285902
-41.074351,32,4978.494304
-48.255333,3,4978.516963
-45.415529,8,4978.573283
-29.037812,23,4978.729877
-43.192524,8,4978.786052
-23.877234,43,4979.067473
-50.0,1,4979.076432
-40.668007,32,4979.291437
-48.005995,20,4979.421182
-45.264011,22,4979.571656
-48.099149,11,4979.644589
-33.13537,29,4979.839084
-452.023324,572,4983.227216
-40.706933,16,4983.342317
-39.24955,22,4983.488299
-50.0,1,4983.498042
-45.147115,14,4983.588569
-61.71722,160,4984.623008
-50.0,1,4984.632568
-47.730728,20,4984.760421
-49.578268,14,4984.853023
-45.128575,12,4984.929083
-29.353241,33,4985.152976
-29.625942,40,4985.443053
-36.056308,28,4985.621268
-37.885879,40,4985.884975
-50.0,1,4985.894732
-49.645488,4,4985.922223
-74.719293,152,4986.94554
-50.0,1,4986.954939
-42.823261,19,4987.092569
-62.134278,87,4987.681445
-44.83969,19,4987.803537
-36.613316,18,4987.927408
-39.405446,21,4988.078928
-50.873171,4,4988.10774
-39.525261,23,4988.257024
-48.261287,6,4988.298381
-45.655467,16,4988.402011
-45.685482,31,4988.609017
-48.856946,6,4988.648384
-25.017101,71,4989.160713
-32.463273,22,4989.318929
-41.979433,19,4989.441016
-48.458866,53,4989.773909
-43.707436,14,4989.865142
-38.229842,14,4989.984294
-46.480266,18,4990.100384
-51.913214,22,4990.245034
-13.78668,76,4990.739852
-43.70282,199,4992.137847
-44.949606,4,4992.166523
-47.788316,8,4992.224927
-29.655995,25,4992.389157
-50.0,1,4992.39867
-48.292729,6,4992.438245
-46.553585,23,4992.583981
-35.904969,38,5959.02942
-44.689895,12,5959.111765
-36.351012,12,5959.19769
-47.635986,12,5959.275097
-41.455805,11,5959.345126
-56.588118,112,5960.041272
-43.065246,29,5960.230191
-33.650972,15,5960.325796
-50.0,1,5960.336238
-34.265868,24,5960.494574
-48.388871,7,5960.54087
-41.42501,8,5960.596154
-50.0,1,5960.605547
-37.515952,21,5960.750947
-50.0,1,5960.759674
-25.684459,29,5960.952784
-42.688861,14,5961.038291
-40.464942,16,5961.152186
-44.117592,26,5961.329426
-43.542648,65,5961.789098
-50.0,1,5961.79887
-48.789054,8,5961.85766
-38.844157,10,5961.929062
-36.871567,28,5962.116342
-42.483783,6,5962.15606
-50.0,1,5962.165997
-34.883763,35,5962.544567
-22.143202,62,5963.1058
-28.238009,18,5963.257431
19.857982,50,5963.800219
-41.644578,7,5963.871285
-51.297316,82,5964.814048
-33.353031,14,5964.936686
-45.948534,4,5964.973599
-25.788009,18,5965.140062
-38.592638,10,5965.221618
-78.912112,97,5966.023695
-160.974776,196,5967.592167
-24.47606,21,5967.785387
-50.0,1,5967.794679
-36.004333,12,5967.899265
-70.096405,54,5968.326976
-1519.598614,600,5973.355697
-11.564365,28,5973.588179
-46.060917,4,5973.626593
-32.187333,15,5973.761657
-13.773318,28,5974.004055
-33.659667,14,5974.122443
-50.0,1,5974.131574
-48.34211,2,5974.147281
-42.408001,8,5974.218941
-26.298,19,5974.381138
18.195602,53,5974.886343
-53.019248,25,5975.138848
-43.654172,17,5975.283552
-103.028017,63,5975.823702
-7.175343,32,5976.114709
-42.841303,18,5976.27103
-44.102063,19,5976.442651
-45.137915,15,5976.584807
-46.934352,20,5976.752764
-26.670333,18,5976.908079
-22.771812,20,5977.083602
-7.385333,33,5977.372415
-35.032,13,5977.486908
-23.743343,20,5977.652805
-40.912101,26,5977.867644
-42.121333,9,5977.945066
-48.51539,11,5978.039275
24.788323,55,5978.534164
-48.863369,89,5979.364847
-3.70301,33,5979.641419
-200.426857,229,5981.570443
-26.670333,18,5981.72186
-9.002025,61,5982.221787
-41.079495,40,5982.567893
-50.0,1,5982.583677
-44.270211,33,5982.883934
-50.0,1,5982.893984
-50.0,1,5982.903065
-31.533427,15,5983.035881
-40.363359,17,5983.192474
-46.704187,3,5983.222527
-785.41147,600,5988.473994
-12.978333,29,5988.721032
23.714892,54,5989.190679
-716.23152,600,5994.170919
-50.534058,28,5994.408278
-49.14211,2,5994.425175
-47.122476,42,5994.819455
-46.900358,15,5994.95508
-1608.226682,600,6000.322391
-23.299479,21,6000.503268
-11.292343,29,6000.751381
-50.0,1,6000.76152
-39.048044,13,6000.886097
-47.314658,36,6001.197879
-50.898632,4,6001.234943
-44.341861,20,6001.424866
-48.119604,28,6001.672545
1.027977,53,6002.100595
4.238699,44,6002.470399
-45.610212,5,6002.514538
-48.316361,41,6002.875985
-49.808257,14,6003.002648
-48.631886,16,6003.146932
-50.0,1,6003.157347
-30.655783,46,6003.583716
-48.519427,5,6003.627666
-31.887333,15,6003.758964
-43.266355,11,6003.855747
-50.253042,10,6003.945471
-47.916362,23,6004.147209
-46.345786,17,6004.294668
-28.660341,17,6004.446383
-43.344364,45,6004.849448
-50.998632,4,6004.884862
-46.668094,13,6005.006475
-32.945787,45,6005.382352
-38.347632,13,6005.491856
-22.608473,41,6964.876343
-41.310701,14,6965.094428
-46.130848,33,6965.401244
-52.209524,14,6965.529166
0.991464,43,6965.907159
-47.756052,3,6965.940958
-41.504955,15,6966.065293
-34.549589,13,6966.177973
-4.028374,52,6966.615081
-34.877117,107,6967.511251
-46.525933,9,6967.585969
-50.0,1,6967.595324
-45.283544,39,6967.914349
-50.548736,6,6967.970606
-50.787785,11,6968.06261
-29.508704,17,6968.216161
-35.488575,12,6968.318571
-50.0,1,6968.327468
-1608.846068,600,6973.073439
-41.916593,26,6973.321649
-50.692133,15,6973.457436
-23.443343,20,6973.637392
-37.769053,28,6973.875134
-27.036605,48,6974.279598
-49.755512,6,6974.340262
-25.397312,44,6974.695196
-118.667532,135,6975.797247
-31.404994,15,6975.925859
-21.421837,23,6976.124603
-26.566809,24,6976.346157
23.016667,51,6976.880757
25.606,55,6977.391185
15.834798,51,6977.849766
-27.817395,21,6978.024607
-50.0,1,6978.041418
-49.14211,2,6978.058276
-50.0,1,6978.067682
-50.0,1,6978.084091
-2.385054,39,6978.428988
-50.0,1,6978.445921
-36.204333,12,6978.549713
-16.1187,29,6978.796373
-35.304374,35,6979.090731
-49.42151,8,6979.159564
-39.797281,11,6979.242705
-100.247932,152,6980.504909
-39.491149,12,6980.606242
-168.832017,183,6982.115039
-47.006099,5,6982.159409
26.115187,53,6982.646015
3.935354,51,6983.084246
-27.087163,42,6983.426666
-34.892583,72,6984.011563
-26.370333,18,6984.153118
-30.131317,16,6984.292561
-47.383,4,6984.327959
-188.948977,273,6986.528194
-28.388009,18,6986.682391
-43.44122,6,6986.73769
-21.420391,21,6986.909961
-48.34211,2,6986.926833
-7.457667,32,6987.198317
-48.559226,14,6987.31764
-45.48745,5,6987.364649
-50.29728,67,6987.933069
-48.34211,2,6987.949864
-40.449,10,6988.040683
-33.949589,13,6988.14686
-20.881355,26,6988.371077
-12.650552,38,6988.692024
-45.778619,5,6988.736728
23.543594,55,6989.1943
11.164187,44,6989.58355
-53.073879,118,6990.610192
-24.415676,19,6990.772282
-41.044016,31,6991.03523
-18.231183,65,6991.586313
-34.832,13,6991.703137
-36.204333,12,6991.81128
-50.0,1,6991.820717
-27.857077,35,6992.118585
-44.077241,7,6992.177
-0.98601,36,6992.476618
-23.209805,193,6994.047734
-45.048534,4,6994.084508
-34.322124,14,6994.20047
-50.0,1,6994.209758
-38.158646,20,6994.384749
-49.44996,17,6994.532827
-65.118386,84,6995.24086
-27.891587,46,6995.615106
-22.999924,19,6995.790632
-13.419333,27,6996.043701
-28.942667,17,6996.189722
2.458059,37,6996.51749
-41.43013,8,6996.587542
-30.736347,39,6996.917893
-48.619245,10,6997.004356
-50.0,1,6997.020958
-48.450152,11,6997.109899
-31.7381,15,6997.238572
-40.764202,83,6998.008635
-50.0,1,6998.018418
-49.14211,2,6998.041304
22.637478,55,6998.496168
-29.47579,69,6999.089893
-37.149869,25,6999.302459
-26.933618,45,6999.682186
-30.225299,17,6999.837361
-32.777732,23,7000.031894
-23.77176,20,7000.198608
-69.247305,85,7000.904413
23.908581,52,7001.351908
-26.243746,44,7001.703882
-48.257435,6,7001.76216
-51.71748,16,7001.900448
-29.63267,16,7002.030792
-42.837313,9,7002.110184
-627.445746,600,7006.720877
-41.719997,45,7007.095512
-55.330621,23,7007.290946
-31.570672,19,7007.466977
-35.704333,12,7007.568214
-41.923391,77,7008.204397
-50.039779,5,7008.247337
-51.786751,5,7008.299315
-48.264917,5,7008.342665
-65.636846,87,7009.086828
-44.77828,6,7009.135728
-47.310667,5,7009.181528
-42.427946,24,7009.385523
-162.428837,214,7011.142441
-354.222168,409,7287.736609
-38.193889,10,7287.824349
-29.33267,16,7287.95737
-119.053185,118,7288.967257
-50.0,1,7288.976527
-24.54994,79,7289.597274
3.956194,143,7290.792838
-29.585073,46,7291.165151
-39.629478,24,7291.358756
-48.95013,10,7291.450488
-92.320059,92,7292.196578
-147.191018,196,7293.880899
-50.0,1,7293.890872
-48.78363,36,7294.169605
-23.141638,30,7294.434999
-40.908933,12,7294.536595
-47.086512,87,7295.24717
-50.669678,17,7295.402362
-43.477613,12,7295.508735
-39.444857,53,7295.950555
21.017757,53,7296.394572
-33.377305,14,7296.51604
-51.993249,44,7296.874684
-33.577132,35,7297.154539
-16.021379,68,7297.710735
-49.587313,20,7297.873511
-47.781948,45,7298.261822
-37.062991,48,7298.652984
-114.154872,186,7300.213167
-38.116046,29,7300.448979
-39.581172,34,7300.746705
-49.21008,44,7301.147533
-21.04294,47,7301.538393
-33.427826,43,7301.902342
-47.430886,42,7302.259541
-50.072044,23,7302.452575
-50.0,1,7302.462462
-42.89512,16,7302.594099
-158.884185,236,7304.608708
23.828447,52,7305.025952
-41.128623,63,7305.596728
-79.203556,129,7306.746271
-51.507216,6,7306.798192
-42.517035,26,7307.034642
-49.158205,35,7307.330356
-20.703494,52,7307.785368
-45.652777,6,7307.837125
-267.926456,291,7310.241937
-73.034851,96,7311.049192
-18.156685,47,7311.470722
-29.488376,25,7311.739092
-54.11362,64,7312.327968
-11.105632,44,7312.714559
-30.516654,51,7313.151835
-64.077775,79,7313.865296
-14.444571,58,7314.379377
-27.655753,22,7314.564946
-75.73327,111,7315.475694
-40.789624,43,7315.837536
-53.546343,51,7316.271969
-53.847144,70,7316.893778
-44.290303,33,7317.169541
-10.265866,43,7317.567865
-51.0128,5,7317.61412
-43.793667,8,7317.68012
-20.87803,23,7317.886768
-44.384897,11,7317.988341
-73.610336,125,7319.085713
-28.460341,17,7319.23112
-24.993431,18,7319.383716
-33.053156,13,7319.498254
-47.773975,41,7319.865327
-43.293667,8,7319.932379
-38.716865,22,7320.12321
-51.196592,98,7321.004504
-18.159248,72,7321.608658
-48.353785,24,7321.805489
-50.0,1,7321.82304
-28.667149,20,7321.999545
-177.179224,253,7324.147353
-14.761334,36,7324.477073
-47.983,4,7324.514703
-50.0,1,7324.525028
-11.816282,68,7325.10534
-44.747041,116,7326.022692
-45.963854,11,7326.120694
-43.567324,30,7326.365637
-38.260642,24,7326.578255
-49.143994,6,7326.634708
-50.0,1,7326.644228
-35.02565,15,7326.798568
-41.180443,7,7326.864384
-17.190577,28,7327.124273
-10.200312,55,7327.589168
-49.28542,94,7328.383902
7.154764,54,7328.86092
-45.736708,57,7329.343258
-295.836005,270,7331.715556
21.379249,56,7332.170031
-47.983,4,7332.207785
-50.0,1,7332.217789
-49.63405,8,7332.290963
-1419.663667,600,8274.293545
-8.333294,53,8274.728664
-69.56988,96,8275.535563
-215.568788,285,8277.960349
-44.134824,10,8278.047656
-2.740667,35,8278.358745
-34.971403,66,8278.907865
-38.186262,12,8279.009868
-52.202938,47,8279.424951
-49.14211,2,8279.448579
-21.899479,21,8279.630137
-42.964009,90,8280.406992
-50.675087,289,8282.698306
-50.0,1,8282.708461
-37.917483,12,8282.81578
-44.796592,88,8283.606259
-30.745796,20,8283.776422
-40.879622,75,8284.390506
-54.292471,54,8284.810102
-72.848594,294,8287.324469
-35.477578,46,8287.736673
-47.310667,5,8287.790307
-41.956933,35,8288.073301
-71.206569,88,8288.811691
-50.0,1,8288.829167
-38.745152,13,8288.936486
-148.367108,208,8290.703716
-34.450208,18,8290.850198
-47.621801,41,8291.205099
-35.042231,30,8291.451346
-50.0,1,8291.460711
-32.901139,74,8292.143344
-27.391574,18,8292.291747
-40.835591,25,8292.522176
-79.208635,150,8293.754771
-41.120378,12,8293.859757
-32.653395,45,8294.260188
-56.493063,73,8294.885761
-46.559581,4,8294.920543
-33.600483,15,8295.049093
-167.13458,244,8297.233912
-43.845353,8,8297.302442
-36.249889,12,8297.413744
-50.0,1,8297.432807
-48.393446,11,8297.53071
-28.44643,19,8297.718439
-27.180301,23,8297.91549
-50.0,1,8297.925522
-36.505937,18,8298.079252
-26.536563,78,8298.783749
-48.64211,2,8298.806404
-4.824147,62,8299.336266
-41.692286,24,8299.562242
-53.279352,74,8300.275553
-43.704073,43,8300.641976
-44.526337,18,8300.794345
-51.007561,26,8301.012151
-50.0,1,8301.029946
-50.0,1,8301.039767
-32.79148,20,8301.209633
-35.397809,22,8301.392451
-44.684697,46,8301.783004
-25.153608,26,8302.001265
-55.327944,58,8302.473352
-53.602671,15,8302.612434
-44.028565,246,8304.568768
-41.077359,17,8304.70731
-30.337724,18,8304.867021
-36.294453,13,8304.979172
-49.026298,5,8305.027195
-50.0,1,8305.044802
-59.026614,42,8305.405892
-50.0,1,8305.416121
-50.0,1,8305.432315
-46.444828,31,8305.709864
18.486513,53,8306.187965
26.041827,128,8307.297541
-212.337466,371,8310.33626
-36.989988,17,8310.488728
-31.886399,51,8310.916472
-21.338917,45,8311.341542
-44.896797,142,8312.611003
-73.671112,193,8314.368325
-58.43042,40,8314.726792
17.165582,270,8317.236369
-41.345549,53,9233.209505
-30.850649,48,9233.643876
-37.045128,86,9234.379588
-74.988135,36,9234.676817
-50.0,1,9234.687095
-61.506162,32,9234.959792
-437.683475,534,9239.31493
-52.178294,93,9240.217343
-116.639081,213,9242.029982
-50.0,1,9242.039363
-50.0,1,9242.048967
20.633979,97,9242.835065
-43.735007,26,9243.059708
-34.706678,16,9243.197891
-50.046237,14,9243.334865
-46.115936,27,9243.553793
-12.046266,81,9244.470161
-19.217277,100,9245.52831
-49.013306,10,9245.616213
-29.93957,37,9245.931536
-42.693062,86,9246.655825
-30.739418,22,9246.831706
-38.330787,58,9247.330646
-0.281892,61,9247.85436
-41.297029,35,9248.177264
-45.06731,47,9248.58022
-59.602508,257,9250.825216
-22.086875,83,9251.586523
-15.022801,91,9252.357289
-36.561944,81,9253.120253
-24.942667,17,9253.267047
-301.277349,224,9254.966185
-35.484747,61,9255.482663
-33.184057,32,9255.762908
-28.913141,18,9255.91586
-6.763283,56,9256.398611
-102.018376,282,9258.850595
-52.570522,49,9259.278084
-43.900638,18,9259.440406
-29.482902,66,9260.055007
-50.0,1,9260.071073
70.363291,229,9261.950388
16.670074,208,9263.801357
-42.565722,176,9265.297865
-50.0,1,9265.308254
-21.990443,57,9265.844523
-50.0,1,9265.862643
16.817919,159,9267.175596
36.812897,237,9269.101757
-12.228636,30,9269.350793
-35.280403,64,9269.928876
-22.024617,111,9270.830027
-49.361114,12,9270.938541
-22.310136,66,9271.533237
-50.586687,9,9271.618926
-36.608492,17,9271.765087
-38.969033,28,9272.004745
-47.155461,12,9272.106557
-43.179068,52,9272.566059
-37.769227,10,9272.654825
-3.27656,42,9273.052786
14.796016,148,9274.365306
-37.859223,33,9274.650769
170.379688,194,9276.324088
-15.610202,49,9276.754882
69.287617,148,9278.152904
-29.34997,52,9278.642365
-49.417828,11,9278.744073
-45.873383,8,9278.817449
36.399821,153,9280.240335
-34.323826,23,9280.442918
-50.687295,21,9280.618001
-49.127667,2,9280.635752
-38.36895,58,9281.135169
-37.563788,221,9283.146892
-26.09033,153,9284.524707
75.291925,202,9293.475467
-5.087302,59,9293.976752
-9.165184,128,9295.119278
-47.310667,5,9295.164832
-35.27148,38,9295.482592
-43.846545,31,9295.747322
-5.272947,80,9296.414498
-61.120085,43,9296.756295
-50.0,1,9296.765715
-45.107697,53,9297.210531
37.071778,153,9298.456533
-42.239936,13,9298.567714
73.853494,206,9300.271764
-39.095499,38,9300.62314
-50.0,1,9300.633491
-9.888538,60,9301.149223
-58.917586,52,9301.596627
-47.846885,39,9301.929694
-49.039921,10,9302.012577
-24.500039,58,9302.500092
-50.0,1,9302.510446
-42.135777,9,9302.58722
-36.639512,14,9302.707164
-55.277098,40,9303.053515
-15.249938,64,9303.616508
-19.805991,231,9305.566213
-24.016386,80,9306.290687
-50.0,1,9306.300002
-39.716437,48,9306.711121
-44.312597,32,9306.983166
-25.59972,69,9307.554145
-26.265142,26,9307.793674
14.46914,66,9308.382758
-56.678333,39,9308.71085
-78.67613,91,9309.469865
-22.111591,86,9310.196558
-462.46685,600,9314.954726
-45.191076,15,9315.084629
-50.0,1,9315.094096
-3.33863,56,9315.614296
-17.378586,59,9316.124027
-46.426539,9,9316.200376
-28.504399,30,9316.478039
6.700006,153,9317.764255
-44.142587,34,9318.063016
-9.925138,41,9318.449156
-37.853027,43,9318.820464
-34.239994,80,9319.473792
13.842677,160,9320.835318
-23.077597,20,9321.004915
-3.666889,127,9322.077101
-5.867573,57,9322.604508
-47.512801,35,9322.921152
-21.363811,71,9323.559154
40.840014,207,9325.235355
-28.951007,39,9325.573107
-39.645617,23,9325.786545
-18.707321,56,9326.268633
24.976629,133,9327.518137
-14.663724,60,9328.03581
-33.480131,40,9328.409486
-24.422919,51,9328.842354
-15.722828,74,9329.471329
-35.40287,20,9329.644798
105.905155,185,9331.161314
-19.469989,24,9331.362112
-32.746897,46,9331.739041
-4.789569,48,9332.188991
42.557443,155,9333.584318
-42.144027,24,9333.788846
-24.675433,35,9334.114693
-26.728035,19,9334.277662
-30.465691,20,9334.463145
-29.494801,50,9334.934127
-50.0,1,9334.94423
-24.598391,132,9336.032518
-50.0,1,9336.049397
-41.057079,40,9336.397352
-38.269235,41,9336.749406
-25.172408,39,9337.089069
5.982343,52,9337.545681
-27.428478,69,9338.189407
-36.490791,29,9338.429307
-16.824402,37,9338.744367
-43.28464,34,9339.041171
-41.741585,61,9339.54224
18.903083,125,9568.174955
-38.670679,60,9568.688319
-27.580693,25,9568.90236
-44.013718,44,9569.268685
-39.67045,15,9569.388846
-27.583729,51,9569.808435
-42.606044,64,9570.328834
-25.508783,69,9570.897489
-33.064388,16,9571.046159
20.967635,133,9572.14112
-46.340168,17,9572.282859
20.948754,61,9572.791471
-10.41766,44,9573.158447
-50.0,1,9573.168125
-53.958066,32,9573.435687
17.463902,130,9574.60153
66.926485,154,9575.928379
8.588546,126,9576.987091
-28.401174,35,9577.276761
28.529914,166,9578.642576
-37.533599,47,9579.047625
-40.32675,89,9579.881285
-33.950549,44,9580.412253
-50.0,1,9580.422642
-37.428009,67,9581.051734
-16.829509,24,9581.266762
-39.796607,27,9581.513809
-50.0,1,9581.522991
-13.464253,73,9582.137639
-35.73505,15,9582.263041
0.293381,58,9582.754362
21.128203,60,9583.302588
-65.105715,75,9583.983792
-14.346743,156,9585.337763
-46.906148,39,9585.665936
-38.310127,44,9586.033647
3.722703,77,9586.716452
-40.676638,16,9586.858101
-30.22906,46,9587.253725
-41.564971,42,9587.623248
9.108469,126,9588.698661
-73.30938,205,9590.445345
19.390818,177,9591.951081
-21.622995,38,9592.274132
23.118073,180,9593.651299
-17.912179,88,9594.401292
-47.006099,5,9594.444107
-32.012461,43,9594.838515
-26.141468,33,9595.117135
11.233753,55,9595.622857
14.531675,129,9596.816668
-50.0,1,9596.826897
-31.384001,39,9597.154155
-47.034681,34,9597.46621
-23.897834,98,9598.338425
-13.067189,70,9598.980821
-18.80682,26,9599.198482
45.792905,145,9600.40762
56.339472,135,9601.611788
-37.60059,32,9601.899227
-33.815188,98,9602.750354
-19.069274,48,9603.160478
29.074576,95,9603.979645
-24.551584,41,9604.327651
-37.209302,32,9604.603035
-19.54323,87,9605.335862
-49.097321,44,9605.735603
-30.265539,73,9606.382985
-37.251309,18,9606.528283
-1.895813,180,9608.046027
-48.34211,2,9608.070255
-10.092298,60,9608.583939
-36.802603,39,9608.919468
-33.762935,49,9609.361948
59.167481,166,9610.765694
49.021274,150,9611.900764
-51.33626,84,9612.625522
-50.0,1,9612.635634
35.231582,145,9613.920975
-24.587549,61,9614.474434
-62.950089,65,9615.003058
-24.799043,68,9615.578466
-40.713511,126,9616.729296
-28.178135,54,9617.191297
15.098144,58,9617.698513
-35.036597,64,9618.284659
-42.917349,44,9618.656465
-47.099349,31,9618.924517
-50.0,1,9618.934454
-4.526629,79,9619.653171
8.650039,195,9621.355097
-13.537906,82,9622.051337
72.244287,145,9623.231917
-29.236384,71,9623.864749
-50.0,1,9623.875402
-30.989734,17,9624.051717
-36.004381,33,9624.36175
1.973033,189,9626.121056
3.536847,46,9626.541956
-20.322974,27,9626.787609
-50.0,1,9626.80515
48.179664,175,9628.340045
87.353721,201,10562.072226
-54.760077,50,10562.578059
12.163067,66,10563.199214
-42.14957,37,10563.521811
-46.468503,3,10563.552773
-32.177626,34,10563.842811
-19.376312,48,10564.235945
-39.839369,181,10565.825816
-50.0,1,10565.843797
-50.0,1,10565.853157
-32.241061,23,10566.041383
-20.851544,89,10566.844734
16.481926,133,10567.969799
24.033841,131,10569.062545
-50.0,1,10569.072077
20.828286,132,10570.155359
-11.429449,64,10570.681391
-42.683564,79,10571.374191
-46.897279,18,10571.522782
-36.983775,36,10571.819864
69.022029,155,10573.104767
-11.982938,71,10573.697883
-54.492128,94,10574.483676
-37.275737,26,10574.717498
-12.839345,45,10575.103104
-47.709483,94,10575.919608
73.705969,168,10577.266268
-39.153294,18,10577.409799
65.348088,183,10578.939875
-43.009493,43,10579.303764
3.200948,121,10580.324932
42.650332,172,10581.747656
14.484845,175,10583.20138
-49.327667,2,10583.217179
-40.977164,41,10583.55891
-40.891638,36,10583.883804
14.252397,169,10585.321216
10.738933,59,10585.803192
-50.0,1,10585.82044
-36.153694,16,10585.961827
-34.214248,64,10586.469296
-34.890278,46,10586.963275
-42.003867,6,10587.021035
-35.944008,19,10587.178596
-33.960908,68,10587.738513
31.871303,124,10588.788247
-50.0,1,10588.805281
-41.139077,43,10589.163491
-6.719452,59,10589.64991
-24.162964,54,10590.098965
-50.0,1,10590.108742
-3.706167,72,10590.720198
41.329325,151,10592.153743
-22.576026,48,10592.543639
-29.244007,70,10593.143274
-27.104022,32,10593.436143
-33.846133,46,10593.823939
54.178704,209,10595.599414
-6.545873,87,10596.351355
-11.763376,120,10597.333466
29.499052,165,10598.799963
-46.13738,30,10599.067043
-50.0,1,10599.083786
35.219938,152,10600.480111
-27.67221,56,10600.930244
-49.500058,36,10601.236939
-9.779288,73,10601.864254
-18.15039,39,10602.196097
-24.893387,81,10602.93634
-17.403294,33,10603.239079
27.842136,117,10604.177724
38.179232,209,10605.929177
-18.267193,28,10606.171172
-24.412951,43,10606.549363
-34.209463,31,10606.840837
-29.243607,23,10607.045748
-0.054273,55,10607.559529
-17.524809,114,10945.646048
-22.754472,59,10946.151677
89.30815,152,10947.475287
-50.0,1,10947.485453
-6.577351,160,10948.794259
-37.187338,100,10949.65619
66.328799,136,10950.831652
26.177206,139,10952.116434
-46.541913,20,10952.293599
-11.61292,57,10952.769669
-15.175432,51,10953.211902
-50.0,1,10953.221257
-36.068035,38,10953.542159
-87.054049,94,10954.391102
-50.0,1,10954.400404
40.953138,145,10955.580693
24.264985,95,10956.356545
54.929038,184,10957.961172
