#{"t_start": 1764939802.515601, "env_id": "highway-construction-v0"}
r,l,t
-25.308789,38,71.506162
-47.280142,9,71.5689
-49.23961,5,71.606186
-48.84211,2,71.622294
-37.267686,84,72.17772
-34.978115,19,72.311772
-47.690592,6,72.3609
-47.756052,3,72.384613
-45.648788,14,72.487661
-45.581784,5,72.528584
-31.04621,16,72.63845
-47.145186,10,72.711086
-43.657269,14,72.804305
-41.319367,17,72.930495
-39.244156,26,73.129803
-45.617756,24,73.294399
-45.871077,51,73.641391
-17.036062,26,73.81619
-97.711007,129,74.802902
-46.340952,19,74.938815
-43.167894,30,75.14771
-50.0,1,75.15732
-35.753379,21,75.303019
-27.537261,54,75.688365
-47.269777,3,75.711594
-16.431618,40,75.98354
-29.45597,38,76.241344
-50.007707,15,76.347522
-38.201131,36,76.590781
-48.34211,2,76.609006
-50.511739,8,76.664761
-50.0,1,76.674787
-47.118751,15,76.773429
-36.307057,19,76.910886
-48.902742,16,77.013161
-45.207141,6,77.060669
-44.24129,29,77.257183
-29.096274,84,77.839958
-32.498463,25,78.025805
-46.465246,16,78.133117
-48.197796,11,78.213868
-48.24932,19,78.357701
-27.26344,23,78.516777
-52.38112,31,78.746294
-48.000124,17,78.863721
-87.805615,52,79.193923
-48.037302,61,79.594764
-30.545026,22,79.746703
-22.538476,53,80.139984
-50.0,1,80.149445
-41.150315,23,80.319222
-46.173832,27,80.514962
-44.719908,15,80.628981
-66.260848,53,80.980075
-42.09743,7,81.030824
-17.209598,49,81.375911
-52.836172,20,81.510978
-47.773323,12,81.594292
-27.666142,32,81.831839
-50.0,1,81.842138
-27.463371,35,993.169908
-63.601561,57,993.542965
-10.666838,66,993.973239
-40.256983,16,994.076724
-48.382601,24,994.232496
-45.654437,9,994.295577
-39.000882,21,994.443303
-29.706219,31,994.640172
-50.0,1,994.650366
-50.0,1,994.659655
-56.325726,72,995.154692
-37.480335,43,995.437168
-34.195855,41,995.716938
-34.193632,51,996.039052
-32.09487,22,996.183069
-26.832431,44,996.488106
-39.622927,19,996.603148
-52.468499,38,996.84088
-47.36193,37,997.075629
-50.0,1,997.085249
-50.0,1,997.094879
-38.495349,11,997.169823
-47.621376,9,997.227198
-34.91559,42,997.496861
-46.272435,5,997.533869
-44.907484,16,997.637474
-50.0,1,997.647169
-47.347343,17,997.758903
-20.077568,22,997.912029
-12.406504,27,998.086238
-43.746182,15,998.181977
-50.0,1,998.191351
-50.0,1,998.201207
-48.381891,10,998.271489
-29.889364,22,998.427378
-39.430834,12,998.509332
-40.285144,19,998.635237
-50.0,1,998.644324
-44.935245,4,998.673355
-40.434917,11,998.74292
-31.115784,30,998.942981
-50.270949,5,998.97722
-50.296515,18,999.093364
-43.64885,31,999.297189
-47.470343,12,999.374897
